"_id","","_ru","_en","_ro","_fr","_de","_sp","_it","_jp","_ko","_br"
"id","Комментарии ","RU","EN","RO","FR","DE","SP","IT","JP","KO","BR"
"t_002","","Да","Yes","da","Oui","Ja","Sí","SÌ","はい","예","Sim"
"t_003","","Нет","No","Nu","Non","NEIN","No","NO","いいえ","아니요","Não"
"t_005","","Отмена","Cancel","Anulare","Annuler","Stornieren","Cancelar","Annulla","キャンセル","취소","Cancelar"
"t_006","","Вы точно хотите выйти?","Are you sure you want to quit?","Esti sigur ca vrei sa renunti?","Êtes-vous sûr de vouloir quitter?","Sind Sie sicher, dass Sie aufhören wollen?","¿Seguro que quieres salir?","Sei sicuro di voler uscire?","本当にやめる気？","그만두고 싶습니까?","Você tem certeza que quer sair?"
"t_007","","Аватары игрока","Player avatar","Avatarul jucătorului","Avatar du joueur","Spieler Avatar","Avatar de jugador","Giocatore avatar","プレーヤーアバター","플레이어 아바타","Avatar do jogador"
"t_008","","Ваш ход","Your turn","Randul tau","À ton tour","Du bist dran","Tu turno","Il tuo turno","あなたの番","네 차례 야","Sua vez"
"t_009","","Ход игрока {player}","PLAYER's turn","Rândul jucătorului","Tour du joueur","Spieler an der Reihe","Turno del jugador","Il turno del giocatore","プレイヤーのターン","플레이어의 차례","Virar do jogador"
"t_010","","Игрок, который берет последний предмет - проигрывает!","The player who takes the last item loses!","Jucătorul care ia ultimul articol pierde!","Le joueur qui prend le dernier objet perd!","Der Spieler, der den letzten Artikel nimmt!","¡El jugador que toma el último artículo pierde!","Il giocatore che prende l'ultimo oggetto perde!","最後のアイテムを取るプレイヤーは負けます！","마지막 아이템을받는 플레이어는 잃어 버립니다!","O jogador que leva o último item perde!"
"t_011","","Играть","Play","Joaca","Jouer","Spielen","Jugar","Giocare","遊ぶ","놀다","Jogar"
"t_012","","Профиль","Profile","Profil","Profil","Profil","Perfil","Profilo","プロフィール","프로필","Perfil"
"t_013","","Онлайн (2 игрока)","Online (2 players)","Online (2 jucători)","En ligne (2 joueurs)","Online (2 Spieler)","En línea (2 jugadores)","Online (2 giocatori)","オンライン（2人のプレイヤー）","온라인 (2 명의 플레이어)","Online (2 jogadores)"
"t_014","","Онлайн (3 игрока)","Online (3 players)","Online (3 jucători)","En ligne (3 joueurs)","Online (3 Spieler)","En línea (3 jugadores)","Online (3 giocatori)","オンライン（3人のプレイヤー）","온라인 (3 명의 플레이어)","Online (3 jogadores)"
"t_015","","Онлайн (4 игрока)","Online (4 players)","Online (4 jucători)","En ligne (4 joueurs)","Online (4 Spieler)","En línea (4 jugadores)","Online (4 giocatori)","オンライン（4人のプレイヤー）","온라인 (4 명의 플레이어)","Online (4 jogadores)"
"t_016","","Против ИИ","Against AI","Împotriva AI","Contre l'IA","Gegen ai","Contra Ai","Contro l'IA","AIに対して","AI에 대해","Contra ai"
"t_017","","2 игрока на одном устройстве","2 players on 1 device","2 jucători pe 1 dispozitiv","2 joueurs sur 1 appareil","2 Spieler auf 1 Gerät","2 jugadores en 1 dispositivo","2 giocatori su 1 dispositivo","1つのデバイスの2人のプレーヤー","1 장치에 2 명의 플레이어","2 jogadores em 1 dispositivo"
"t_018","","Настройки","Settings","Setări","Paramètres","Einstellungen","Ajustes","Impostazioni","設定","설정","Configurações"
"t_019","","Победа!","Victory!","Victorie!","La victoire!","Sieg!","¡Victoria!","Vittoria!","勝利！","승리!","Vitória!"
"t_020","","Поражение","Defeat","Înfrângere","Défaite","Verlust","Fracaso","Sconfitta","敗北","패배시키다","Derrota"
"t_021","","Счет","Score","Scor","Score","Punktzahl","Puntaje","Punto","スコア","점수","Pontuação"
"t_022","","Раунд","Round","Rundă","Rond","Runden","Redondo","Girare","ラウンド","둥근","Redondo"
"t_023","","Играть еще","Play again","Joaca din nou","Rejouer","Nochmal abspielen","Juega de nuevo","Gioca di nuovo","再びプレー","다시 플레이하십시오","Jogar de novo"
"t_024","","Вернуться в меню","Back to menu","Inapoi la meniu","Retour au menu","Zurück zum Menü","Volver al menú","Torna al menu","メニューに戻ります","메뉴로 돌아갑니다","Voltar ao menu"
"t_025","","Поиск противника...","Looking for opponent...","În căutarea adversarului ...","À la recherche d'un adversaire ...","Auf der Suche nach Gegner ...","Buscando oponente ...","Alla ricerca dell'avversario ...","相手を探しています...","상대를 찾고 ...","Procurando oponente ..."
"t_026","","Уровень сложности","Difficulty level","Nivel de dificultate","Niveau de difficulté","Schwierigkeitsgrad","Nivel de dificultad","Livello di difficoltà","難易度","난이도","Nível de dificuldade"
"t_027","","Простой","Easy","Uşor","Facile","Einfach","Fácil","Facile","簡単","쉬운","Fácil"
"t_028","","Средний","Medium","Mediu","Moyen","Mittel","Medio","medio","中くらい","중간","Médio"
"t_029","","Сложный","Hard","Greu","Dur","Hart","Duro","Difficile","難しい","딱딱한","Duro"
"t_030","","Расположение фишек","Position of items","Poziția articolelor","Position des articles","Position der Gegenstände","Posición de los artículos","Posizione degli articoli","アイテムの位置","항목의 위치","Posição dos itens"
"t_031","","Количество фишек","Number of items","Numărul de articole","Nombre d'objets","Anzahl der Teile","Número de items","Numero di articoli","アイテムの数","항목 수","Número de ítens"
"t_032","","Вы проиграете, если возьмете последнюю фишку!","You lose if you take the last item!","Pierdeți dacă luați ultimul articol!","Vous perdez si vous prenez le dernier article!","Sie verlieren, wenn Sie den letzten Artikel nehmen!","¡Pierdes si tomas el último artículo!","Perdi se prendi l'ultimo oggetto!","あなたが最後のアイテムを取るとあなたは負けます！","마지막 항목을 가져 가면 잃습니다!","Você perde se tomar o último item!"
"t_033","","Компьютер","Computer","Calculator","Ordinateur","Computer","Computadora","Computer","コンピューター","컴퓨터","Computador"
"t_034","","","","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"t_035","","","","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"t_036","","","","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"t_037","","","","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"t_038","","","","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"t_039","","","","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"t_040","","","","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"t_041","","","","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"t_042","","","","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!"
"t_043","","","","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!"